Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
3840	-0.34972504	0.0	-0.34972504	-0.34972504	1.0	0.010328241	0.0686365	0.15550508	-0.21160485	0.0065605314	0.09388735	0.1587899	-0.2895746	-1.280874	0.24975908	-0.6577637	-1.9379969	-0.27150792	0.070286885	5261.866487503052
3840	-0.23936193	0.0	-0.23936193	-0.23936193	1.0	0.016397784	0.06978289	0.1563503	-0.24113652	0.022670157	0.095938094	0.19261467	-0.30963168	-1.3089678	0.2724608	-0.3528521	-2.6098385	-0.27430958	0.060120493	5262.5252294540405
3840	0.09538913	0.0	0.09538913	0.09538913	1.0	0.005266344	0.07208876	0.11776245	-0.22997056	0.005892374	0.104566015	0.19771281	-0.34118375	-1.3812629	0.36169577	-0.5150776	-3.8037615	-0.2802719	0.053496804	5263.211683034897
3840	-0.37679327	0.0	-0.37679327	-0.37679327	1.0	0.018417379	0.069992475	0.15499114	-0.18329103	0.02252196	0.09317502	0.19530275	-0.24415794	-1.2966855	0.28503814	-0.62463343	-2.5424838	-0.2891849	0.050993077	5263.88821721077
3840	0.2652807	0.0	0.2652807	0.2652807	1.0	0.017827041	0.079917416	0.1701181	-0.23543699	0.023558047	0.11289271	0.17256394	-0.321681	-1.3437022	0.265743	-0.644233	-2.985878	-0.2799771	0.059844874	5264.546908855438
3840	-0.0008243845	0.0	-0.0008243845	-0.0008243845	1.0	0.02504342	0.06560073	0.17365378	-0.15915474	0.032568544	0.08853452	0.1912376	-0.2463807	-1.304357	0.2960513	-0.4759109	-2.426875	-0.27725303	0.055700608	5265.211537122726
3840	-0.1174069	0.0	-0.1174069	-0.1174069	1.0	0.027543612	0.075192295	0.15976809	-0.15805967	0.023759801	0.09986316	0.17248651	-0.25797975	-1.2912576	0.3230628	-0.3978839	-2.54604	-0.28947437	0.06102652	5265.8702754974365
3840	-0.17594711	0.0	-0.17594711	-0.17594711	1.0	0.033632476	0.06213471	0.19170253	-0.107967064	0.03465101	0.083768085	0.18705405	-0.16572066	-1.3490342	0.25187033	-0.70517206	-2.52649	-0.28297713	0.05782606	5266.539330244064
3840	-0.3308775	0.0	-0.3308775	-0.3308775	1.0	0.010928319	0.079755254	0.16518143	-0.17728968	0.005226823	0.11384499	0.201904	-0.26866513	-1.3037376	0.29957372	-0.53585887	-2.8252854	-0.27594736	0.054929107	5267.2315990924835
3840	-0.19950211	0.0	-0.19950211	-0.19950211	1.0	0.021892883	0.07291502	0.1514045	-0.18235306	0.023011614	0.10185408	0.20360555	-0.25545532	-1.3247495	0.2850382	-0.64559245	-2.2366815	-0.26742733	0.06831822	5267.905373811722
3840	0.083911195	0.0	0.083911195	0.083911195	1.0	0.008145109	0.072592445	0.14711714	-0.1948956	-0.002874575	0.100410424	0.18792982	-0.31712368	-1.2750965	0.27849275	-0.37951565	-2.088601	-0.27555886	0.06559428	5268.586750268936
3840	0.43889558	0.0	0.43889558	0.43889558	1.0	0.011339467	0.07332002	0.13097765	-0.18343133	0.007872777	0.09887821	0.14597364	-0.27500668	-1.3183699	0.29614007	-0.64993787	-2.6573381	-0.25857157	0.080972575	5269.242560148239
3840	-0.45010152	0.0	-0.45010152	-0.45010152	1.0	-0.0052292	0.07204223	0.13509187	-0.22219542	-0.0071410234	0.10014793	0.1585981	-0.30884603	-1.334532	0.30947697	-0.6167493	-2.957049	-0.25205538	0.063658066	5269.908669948578
3840	0.20710962	0.0	0.20710962	0.20710962	1.0	-0.009693164	0.07190633	0.106726676	-0.22859532	-0.013466883	0.09598165	0.15680642	-0.33862484	-1.2728498	0.28772196	-0.53887236	-2.2754598	-0.2482362	0.05361554	5270.600975513458
3840	0.07693841	0.0	0.07693841	0.07693841	1.0	-0.016051285	0.07173731	0.106577516	-0.20258412	-0.017967165	0.09458707	0.15626997	-0.2715144	-1.2634516	0.26064673	-0.59005475	-2.0473204	-0.2381089	0.054045305	5271.282968997955
3840	-0.32818878	0.0	-0.32818878	-0.32818878	1.0	-0.011655829	0.07143016	0.10692075	-0.20420086	-0.009875654	0.10073104	0.15188275	-0.29460263	-1.3241796	0.38173902	-0.5588063	-3.493527	-0.2638939	0.05732407	5271.950260400772
3840	0.3105796	0.0	0.3105796	0.3105796	1.0	-0.009729371	0.068627045	0.13806789	-0.18575789	-0.004447727	0.09641612	0.15668659	-0.27521616	-1.3261011	0.2579512	-0.6848655	-2.3714185	-0.2637254	0.059284903	5272.615728855133
3840	0.113202095	0.0	0.113202095	0.113202095	1.0	-0.004136071	0.079148866	0.13710633	-0.21472913	0.0010665748	0.10691147	0.18071796	-0.27773017	-1.3433107	0.27177152	-0.28391504	-2.2472012	-0.26516956	0.054135315	5273.292354106903
